I.I;;
I.1;SERVIÇOS PRELIMINARES;
I.1.1;LICENÇAS E TAXAS;vb
I.1.2;INSTALAÇÃO DO CANTEIRO;vb
I.1.3;MOBILIZAÇÃO E DESMOBILIZAÇÃO DE EQUIPAMENTOS   ;vb
I.;;
I.2;PROJETO EXECUTIVO;
I.2.1;PROJETO EXECUTIVO;vb
I.PEC 151;ELABORAÇÃO DE PROJETO EXECUTIVO, PARA ESTAÇÃO COMPACTA DE TRATAMENTO DE ÁGUA, INCLUSIVE REDE ADUTORA DE ÁGUA TRATADA ALIMENTANDO;Global
I.;;
II.II;Adutora EB1/2 a EB2;
II.;;
II.1;OBRAS CIVIS ;
II.1.1;Serviços Preliminares;
II.1.1.1;Limpeza mecanizada;m²
II.1.1.2;Locação e nivelamento (ADUTORA);m
II.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
II.1.1.4;Sinalização aberta sem iluminação;m
II.1.1.5;Sinalização aberta com iluminação;m
II.1.1.6;Placa indicativa da obra;m²
II.1.2;Movimento de Terra;
II.1.2.1;Escavação mecânica em terra até 2,00 m;m³
II.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
II.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
II.1.2.4;Escavação em rocha dura até 2,00 m;m³
II.1.2.5;Colchão de areia;m³
II.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
II.1.2.7;Reaterro compactado manualmente com material de empréstimo;m³
II.1.2.8;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
II.1.2.9;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
II.1.3;Execução de Blocos de Ancoragem;
II.1.3.1;Execução de blocos de ancoragem moldados no local em concreto simples ;m³
II.1.4;Caixas;
II.1.4.1;Caixa em alvenaria para abrigo de registros DN 50, 80 e 100 inclusive escavação, reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
II.1.4.2;Caixa de Alvenaria para abrigo de ventosa DN 50, 80 e 100 inclusive escavação reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
II.1.5;Assentamento das Tubulações;
II.1.5.1;Assentamento de Tubos PVC DEFºFº 1MPa DN 250;m
II.1.5.2;Assentamento de Tubos PVC DEFºFº 1MPa DN 200;m
II.1.5.3;Assentamento de Tubos PVC DEFºFº 1MPa DN 150;m
II.1.5.4;Assentamento de Tubos RPVC cl.14 e 16 DN 250;m
II.1.5.5;Assentamento de Tubos PEAD Dext 280 mm - Dint 217,6  PEAD PE 100  - SRD - 11 - PN 16;m
II.97137;ASSENTAMENTO DE TUBO DE PVC DEFOFO OU PRFV OU RPVC PARA REDE DE ÁGUA, DN 300 MM, JUNTA ELÁSTICA INTEGRADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_11/2017;m³
II.1.6;Serviços Diversos;
II.1.6.1;Limpeza e teste de estanqueidade;m
II.1.6.2;Montagem de equipamentos hidromecânicos;und
II.1.6.3;Concreto armado fck= 25 MPa, inclusive preparo e lançamento;m³
II.1.6.5;RECOMPOSIÇÃO DE REVESTIMENTO EM CONCRETO ASFÁLTICO (AQUISIÇÃO EM USINA), PARA O FECHAMENTO DE VALAS - INCLUSO DEMOLIÇÃO DO PAVIMENTO. AF_12/2020;M3
II.1.6.6;Retirada e reposição de pavimento em paralelepípedos;m²
II.1.6.8;EMULSAO ASFALTICA CATIONICA RR-2C PARA USO EM PAVIMENTACAO ASFALTICA (COLETADO CAIXA NA ANP ACRESCIDO DE ICMS)                                                                                                                                                                                                                                                                                                                                                                                            ;kg
